nodeId,status,estimatedLessonChars,focusViChars,focusJaChars,keywords,examExampleChars
fundamental-info,detailed,2848,83,32,4,92
fe-theory,detailed,2780,77,33,3,25
fe-algorithm,detailed,2829,66,38,3,40
fe-computer,detailed,2798,53,39,3,33
fe-database,detailed,2751,60,32,3,22
fe-network-security,detailed,2803,61,39,3,32
fe-development,detailed,2808,60,35,3,38
fe-strategy,detailed,2783,68,34,3,28
binary-number,detailed,2768,60,39,4,18
complement-number,detailed,2738,46,26,3,18
fixed-floating-point,detailed,2747,51,25,4,13
boolean-logic,detailed,2756,61,34,5,20
set-logic,detailed,2735,47,25,4,15
probability-statistics,detailed,2738,61,23,4,12
permutation-combination,detailed,2728,50,26,3,13
information-entropy,detailed,2747,53,27,3,18
coding-error-detection,detailed,2753,61,31,3,14
data-compression,detailed,2737,57,30,3,11
automata-formal-language,detailed,2761,58,25,3,16
logical-circuit,detailed,2726,53,23,4,13
matrix-vector,detailed,2752,71,28,3,12
graph-theory,detailed,2735,65,23,4,10
queueing-basic,detailed,2734,53,25,3,20
algo,detailed,2834,79,33,4,70
algorithm-basic,detailed,2744,58,29,3,13
flowchart,detailed,2714,48,20,3,11
pseudo-code,detailed,2735,57,25,4,16
trace-table,detailed,2723,49,21,3,17
complexity,detailed,2738,53,39,3,12
array,detailed,2712,54,23,3,16
two-dimensional-array,detailed,2715,45,22,3,15
linked-list,detailed,2727,41,27,4,15
stack,detailed,2713,34,32,4,15
queue,detailed,2743,43,40,4,23
deque,detailed,2709,52,22,2,13
tree,detailed,2695,44,19,4,11
binary-search-tree,detailed,2736,53,25,3,16
heap-priority-queue,detailed,2752,56,30,2,15
hash-table,detailed,2727,50,31,3,11
linear-search,detailed,2715,44,22,2,12
binary-search,detailed,2732,45,28,4,16
bubble-sort,detailed,2717,40,36,2,10
selection-sort,detailed,2702,34,23,2,12
insertion-sort,detailed,2700,32,22,2,10
quick-sort,detailed,2715,34,19,3,17
merge-sort,detailed,2701,36,19,2,14
recursion,detailed,2709,50,21,3,14
dynamic-programming,detailed,2707,33,21,3,15
greedy-algorithm,detailed,2748,71,25,2,17
debugging-algorithm,detailed,2757,51,31,3,19
computer-system,detailed,2743,55,29,4,13
cpu,detailed,2730,49,26,4,9
performance-mips,detailed,2735,43,31,3,18
memory-cache,detailed,2726,41,30,3,13
storage-raid,detailed,2736,40,34,4,17
operating-system,detailed,2745,61,28,4,13
deadlock,detailed,2731,63,22,3,13
file-system,detailed,2734,54,28,3,14
virtual-memory,detailed,2724,41,33,3,15
virtualization-cloud,detailed,2746,37,33,5,17
container-docker,detailed,2740,60,33,3,13
distributed-system,detailed,2727,54,25,3,10
programming,detailed,2735,53,27,3,10
variable-type,detailed,2730,38,34,3,15
control-flow,detailed,2748,38,40,4,18
function-procedure,detailed,2711,39,21,4,13
object-oriented,detailed,2747,55,29,4,11
api-json,detailed,2742,47,39,4,14
testing-debugging,detailed,2737,48,30,3,12
database-fe,detailed,2726,47,27,3,10
er-model,detailed,2710,44,22,3,13
relational-model,detailed,2722,49,23,3,11
normalization-fe,detailed,2712,43,27,3,12
sql-select,detailed,2743,40,32,3,17
sql-join,detailed,2730,46,30,3,12
sql-aggregate,detailed,2760,40,44,4,13
sql-subquery,detailed,2718,51,27,2,13
transaction-fe,detailed,2778,62,30,4,20
lock-isolation,detailed,2744,54,31,3,14
index-db,detailed,2725,50,28,3,10
view-db,detailed,2707,49,20,2,10
backup-recovery-db,detailed,2733,44,25,3,11
data-warehouse,detailed,2729,42,26,4,16
network-fe,detailed,2740,57,26,3,11
osi-tcpip,detailed,2736,46,27,3,14
ip-subnet,detailed,2739,42,42,3,13
routing,detailed,2741,54,33,3,16
tcp-udp,detailed,2723,47,21,3,19
dns-fe,detailed,2728,56,33,4,10
http-https,detailed,2740,40,38,4,13
email-protocol,detailed,2721,40,27,3,13
wireless-network,detailed,2717,38,27,3,13
load-balancer,detailed,2721,45,22,2,17
security-fe,detailed,2733,47,26,3,11
cia-fe,detailed,2724,59,21,3,14
cryptography,detailed,2725,58,27,4,10
pki-certificate,detailed,2718,39,23,3,14
authentication-authorization,detailed,2728,40,21,3,18
mfa-password,detailed,2738,53,29,3,9
access-control,detailed,2727,50,24,3,12
malware,detailed,2725,49,29,3,12
web-security,detailed,2738,44,31,3,18
firewall-waf,detailed,2742,53,25,3,11
ids-ips,detailed,2725,46,32,3,13
risk-backup,detailed,2732,39,28,4,16
log-monitoring,detailed,2718,47,26,3,14
system-dev,detailed,2756,50,37,3,8
requirement-fe,detailed,2751,63,24,3,18
basic-design,detailed,2726,54,29,2,13
detailed-design,detailed,2724,47,30,2,14
coding-standards,detailed,2731,55,24,2,10
test-fe,detailed,2739,54,28,4,11
test-design,detailed,2742,56,24,3,12
version-control,detailed,2764,47,46,4,21
agile-scrum,detailed,2764,53,55,3,14
project-mgmt-fe,detailed,2755,52,36,4,18
wbs,detailed,2701,49,24,2,9
critical-path,detailed,2726,46,24,2,17
earned-value,detailed,2732,39,29,6,13
quality-management,detailed,2726,51,26,3,10
service-mgmt-fe,detailed,2760,43,47,3,21
sla,detailed,2719,56,28,3,12
bcp,detailed,2717,47,23,4,13
it-governance,detailed,2723,50,25,2,13
strategy-fe,detailed,2727,50,22,3,13
swot,detailed,2731,66,25,3,15
kpi-kgi,detailed,2729,57,25,3,15
bsc,detailed,2726,48,26,3,10
marketing-basic,detailed,2726,46,26,3,12
accounting-fe,detailed,2731,52,26,3,12
depreciation,detailed,2725,69,20,2,11
break-even,detailed,2723,46,23,3,19
law-fe,detailed,2743,56,26,3,12
intellectual-property,detailed,2715,42,22,4,13
personal-info-law,detailed,2754,61,28,3,16
standardization,detailed,2717,47,26,3,11
bit-operation,detailed,2708,34,24,3,14
string-processing,detailed,2733,53,31,3,12
file-processing-algorithm,detailed,2731,43,24,3,11
state-transition,detailed,2717,50,23,2,10
compiler-interpreter,detailed,2752,61,26,2,13
middleware,detailed,2730,54,29,3,11
availability-reliability,detailed,2734,47,23,4,8
fault-tolerance,detailed,2726,42,22,2,14
db-security,detailed,2739,50,27,3,11
data-modeling-cardinality,detailed,2715,54,21,3,10
vpn,detailed,2711,47,27,3,9
zero-trust,detailed,2723,54,21,3,13
incident-response,detailed,2737,55,24,3,14
devops-cicd,detailed,2744,52,36,3,8
ui-ux-basic,detailed,2735,56,29,3,13
roi-investment,detailed,2735,54,25,3,10
outsourcing,detailed,2726,53,23,3,11