check,status,value
practice_tasks_at_least_9,pass,18
has_pseudo-code_tasks,pass,6
has_sql_tasks,pass,6
has_subnet_tasks,pass,6
fundamental_start_route,pass,LessonWorkspace
fundamental_session_route,pass,LessonWorkspace
fundamental_practice_route,pass,LessonWorkspace
component_FundamentalInfoFocusMode.tsx,pass,src/features/knowledge-graph/components/FundamentalInfoFocusMode.tsx
component_FundamentalInfoPracticeDrills.tsx,pass,src/features/knowledge-graph/components/FundamentalInfoPracticeDrills.tsx
component_FundamentalInfoExamSimulator.tsx,pass,src/features/knowledge-graph/components/FundamentalInfoExamSimulator.tsx